Sigla ICAO Empresa Aérea;Empresa Aérea;Número Voo;Código DI;Código Tipo Linha;Modelo Equipamento;Número de Assentos;Sigla ICAO Aeroporto Origem;Descrição Aeroporto Origem;Partida Prevista;Partida Real;Sigla ICAO Aeroporto Destino;Descrição Aeroporto Destino;Chegada Prevista;Chegada Real;Situação Voo;Justificativa;Referência;Situação Partida;Situação Chegada
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;2;N;AT75;72;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;16/06/2022 07:29;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;16/06/2022 08:48;REALIZADO;;16/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;17/06/2022 08:20;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;17/06/2022 09:30;;CANCELADO;;17/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;19/06/2022 20:10;19/06/2022 20:43;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;19/06/2022 21:20;19/06/2022 21:51;REALIZADO;;19/06/2022 00:00:00;Atraso 30-60;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;19/06/2022 17:00;19/06/2022 17:46;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;19/06/2022 18:10;19/06/2022 18:54;REALIZADO;;19/06/2022 00:00:00;Atraso 30-60;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;20/06/2022 20:00;20/06/2022 20:37;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;20/06/2022 21:10;20/06/2022 21:53;REALIZADO;;20/06/2022 00:00:00;Atraso 30-60;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;21/06/2022 19:10;21/06/2022 22:00;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;21/06/2022 20:20;21/06/2022 23:12;REALIZADO;;21/06/2022 00:00:00;Atraso 120-240;Atraso 120-240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;21/06/2022 08:00;21/06/2022 08:35;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;21/06/2022 09:10;21/06/2022 09:42;REALIZADO;;21/06/2022 00:00:00;Atraso 30-60;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;22/06/2022 15:20;22/06/2022 15:51;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;22/06/2022 16:30;22/06/2022 17:08;REALIZADO;;22/06/2022 00:00:00;Atraso 30-60;Atraso 30-60
PAM;MAP TRANSPORTES AÉREOS LTDA.;9804;7;N;AT75;72;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;22/06/2022 20:20;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;22/06/2022 21:31;REALIZADO;;22/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;22/06/2022 08:00;22/06/2022 12:51;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;22/06/2022 09:10;22/06/2022 14:09;REALIZADO;;22/06/2022 00:00:00;Atraso >240;Atraso >240
PAM;MAP TRANSPORTES AÉREOS LTDA.;9832;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;22/06/2022 18:40;22/06/2022 20:28;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;22/06/2022 19:50;22/06/2022 21:40;REALIZADO;;22/06/2022 00:00:00;Atraso 60-120;Atraso 60-120
PAM;MAP TRANSPORTES AÉREOS LTDA.;5964;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 14:40;23/06/2022 14:56;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 15:50;23/06/2022 16:13;REALIZADO;;23/06/2022 00:00:00;Pontual;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;9800;7;N;AT75;72;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;23/06/2022 08:04;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;23/06/2022 09:20;REALIZADO;;23/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9802;7;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;23/06/2022 17:08;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;23/06/2022 18:19;REALIZADO;;23/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9806;7;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;;23/06/2022 20:36;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;;23/06/2022 21:45;REALIZADO;;23/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9830;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 08:00;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 09:10;;CANCELADO;;23/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9832;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 11:30;23/06/2022 11:32;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 12:40;23/06/2022 12:55;REALIZADO;;23/06/2022 00:00:00;Pontual;Pontual
PAM;MAP TRANSPORTES AÉREOS LTDA.;9834;0;N;AT45;47;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 18:40;;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 19:50;;CANCELADO;;23/06/2022 00:00:00;;
PAM;MAP TRANSPORTES AÉREOS LTDA.;9836;0;N;AT72;68;SBEG;EDUARDO GOMES - MANAUS - AM - BRASIL;23/06/2022 18:00;23/06/2022 18:13;SWPI;JÚLIO BÉLEM - PARINTINS - AM - BRASIL;23/06/2022 19:10;23/06/2022 19:27;REALIZADO;;23/06/2022 00:00:00;Pontual;Pontual
